Match_ID,Date,Competition,Home_Team,Away_Team,Home_Rank,Away_Rank,Home_Elo,Away_Elo,Home_Goals,Away_Goals,Goal_Diff,Home_Form,Away_Form,Home_Win_Pct,Away_Win_Pct,Clean_Sheet_Pct,Host_Advantage,Continent_Advantage,Result,Year,Month,Total Goals,Rank Difference,Teams,Total Match Played,Total Win,Win %,Trim Home_TEAM,Trim Away_TEAM,Team,,
1,02-01-2015,Continental Cup,Morocco,Sweden,30,7,2160,2171,3,0,3,2.57,3.74,42,41,41,1,1,Home Win,2015,1,3,23,Morocco,74,31,41.89,Morocco,Sweden,Morocco,,// -ve means home team stronger
2,03-01-2015,World Cup,Poland,USA,19,10,2034,2157,3,2,1,3.27,3.79,52,40,38,0,1,Home Win,2015,1,5,9,Poland,70,24,34.29,Poland,USA,Poland,,// +ve means away team stronger
3,04-01-2015,Nations League,Mexico,Canada,27,24,2179,2165,3,5,-2,3.15,2.43,45,77,27,0,1,Away Win,2015,1,8,3,Mexico,63,30,47.62,Mexico,Canada,Mexico,,
4,05-01-2015,Nations League,Poland,Canada,13,23,2058,2008,4,5,-1,2.09,3.73,68,56,48,1,1,Away Win,2015,1,9,-10,Argentina,67,32,47.76,Poland,Canada,Argentina,,
5,06-01-2015,Nations League,Argentina,Sweden,22,30,2184,1866,1,2,-1,4.68,4.13,58,80,52,0,0,Away Win,2015,1,3,-8,Germany,68,23,33.82,Argentina,Sweden,Germany,,
6,07-01-2015,Continental Cup,Germany,Belgium,9,2,2125,2139,3,4,-1,4.3,4.17,67,61,25,0,0,Away Win,2015,1,7,7,Australia,72,27,37.5,Germany,Belgium,Australia,,
7,08-01-2015,World Cup,Mexico,Serbia,1,6,1875,1877,0,5,-5,4.02,3.57,77,81,41,1,1,Away Win,2015,1,5,-5,Colombia,58,20,34.48,Mexico,Serbia,Colombia,,
8,09-01-2015,Friendly,Australia,Germany,6,26,1863,1821,0,4,-4,4.16,4.35,84,57,36,1,1,Away Win,2015,1,4,-20,Japan,79,38,48.1,Australia,Germany,Japan,,
9,10-01-2015,WC Qualifier,Colombia,Australia,18,30,1840,2073,0,2,-2,3.62,3.33,82,65,32,1,0,Away Win,2015,1,2,-12,Portugal,77,28,36.36,Colombia,Australia,Portugal,,
10,11-01-2015,Continental Cup,Morocco,Netherlands,9,25,2186,1891,3,3,0,3.48,3.51,65,65,59,1,1,Draw,2015,1,6,-16,Netherlands,67,36,53.73,Morocco,Netherlands,Netherlands,,
11,12-01-2015,Continental Cup,Japan,Turkey,11,16,1782,1921,5,3,2,3.12,4.08,65,63,31,1,1,Home Win,2015,1,8,-5,Italy,57,25,43.86,Japan,Turkey,Italy,,
12,13-01-2015,WC Qualifier,Portugal,Australia,20,2,2073,1804,1,5,-4,2.53,3.66,75,80,38,1,1,Away Win,2015,1,6,18,Croatia,69,28,40.58,Portugal,Australia,Croatia,,
13,14-01-2015,Friendly,Australia,Netherlands,5,7,2005,2037,1,2,-1,4.41,4.51,81,66,51,1,1,Away Win,2015,1,3,-2,Serbia,65,23,35.38,Australia,Netherlands,Serbia,,
14,15-01-2015,World Cup,Argentina,Uruguay,29,4,2025,2090,3,2,1,4.98,3.34,60,62,29,0,0,Home Win,2015,1,5,25,Austria,64,22,34.38,Argentina,Uruguay,Austria,,
15,16-01-2015,World Cup,Netherlands,Denmark,24,11,2038,1852,4,0,4,4.02,3.64,58,71,50,1,1,Home Win,2015,1,4,13,Brazil,64,32,50,Netherlands,Denmark,Brazil,,
16,17-01-2015,World Cup,Italy,Brazil,7,13,2191,1957,2,5,-3,4.67,4.29,78,59,59,0,0,Away Win,2015,1,7,-6,Norway,69,32,46.38,Italy,Brazil,Norway,,
17,18-01-2015,Continental Cup,Croatia,Turkey,14,13,1800,1874,3,4,-1,2.89,3.61,55,65,56,1,0,Away Win,2015,1,7,1,England,66,24,36.36,Croatia,Turkey,England,,
18,19-01-2015,Friendly,Serbia,Australia,17,5,2025,1769,2,3,-1,3.3,2.34,67,70,54,0,1,Away Win,2015,1,5,12,USA,53,16,30.19,Serbia,Australia,USA,,
19,20-01-2015,WC Qualifier,Portugal,Colombia,1,16,1791,1791,3,0,3,3.14,3.2,51,78,32,1,0,Home Win,2015,1,3,-15,Uruguay,58,24,41.38,Portugal,Colombia,Uruguay,,
